description_name,description_type
SHERATON MAUI CLIFF DIVE,Food & Drink
SHOPRITE OF UNIONDL S1,Groceries
SPALATO,Food & Drink
Spotify,Bills & Utilities
Spotify USA,Bills & Utilities
SQ *IPPUDO V,Food & Drink
SQ *MOUNT PETER SKI AREA,Entertainment
SQ *NY AXE WESTBURY,Entertainment
SQ *THE BAGEL PLACE,Food & Drink
STARBUCKS,Food & Drink
STEWLEONARD,Groceries
STOP& SHOP,Groceries
SUKOFF ORTHODONTICS,Health & Wellness
SUPER FOODTOWN,Groceries
SUPER U         9231417,Groceries
TAKA,Food & Drink
TARGET        00011395,Shopping
TESLA,Bills & Utilities
TESLA SUBSCRIPTION US,Bills & Utilities
THAI STATION RESTAURANT,Food & Drink
The Childrens Place,Shopping
THE FRENCH WORKSHOP,Food & Drink
THE HAIR BAR AND MAKEUP L,Personal
THE HOME DEPOT 1206,Home
THE HOME DEPOT 8465,Home
TIMES SUPER MARKET #24,Groceries
TRADER JOE S,Groceries
TRIBECA FINEST MARKET GRO,Groceries
TST* DOUGHNUT PLANT - GRA,Food & Drink
TST* GALLERIA PIZZA,Food & Drink
TST* GIGINO TRATTORIA,Food & Drink
TST* ISLAND VINTAGE COFFE,Food & Drink
TST* PARIS BAGUETTE - 145,Food & Drink
TST* RANDOLPH BEER - DUMB,Food & Drink
TST* TAIM - PLAINVIEW NY,Food & Drink
TST* WILDFLOWER - SKY HAR,Food & Drink
TST*DOUGHNUT PLANT - GRA,Food & Drink
TST*FRIEDMANS - 235 MUR,Food & Drink
UBER   *TRIP,Travel
UBER   TRIP,Travel
ULTA #544,Shopping
UMBERTOS OF BELLMORE,Food & Drink
Venchi,Food & Drink
VUDU.COM,Bills & Utilities
VUDU.COM FANDANGO,Bills & Utilities
Wagamama USA LLC,Food & Drink
WAL-MART,Shopping
WALMART.COM,Shopping
WH Smith Heathrow T5,Shopping
Whole Foods,Groceries
WHOLEFDS BPK #10578,Groceries
WHOLEFDS TRB 10245,Groceries
WILD GINGER,Food & Drink
WINDSOR FASHIONS #315,Shopping
WINES BEERS,Food & Drink
ZEN GARDEN,Food & Drink
ZSK*ZIPS DIWAN POS,Food & Drink
